date,TMK,TNK,TXK
2020-01-16,7.5,-0.3,14
2020-01-15,10.6,6.4,13.3
2020-01-14,8.8,5.8,11.1
2020-01-13,5.2,4.3,6.8
2020-01-12,3,-2.1,5
2020-01-11,3.1,-1.8,6.3
2020-01-10,7.4,3.1,9.1
2020-01-09,9.1,7,10.2
2020-01-08,5.5,0.4,8.2
2020-01-07,3.3,-1,7.1
2020-01-06,-0.4,-1.4,1
2020-01-05,2.8,-1,5.8
2020-01-04,3.8,-0.9,7.2
2020-01-03,6.3,4.2,8.8
2020-01-02,1.3,-1.7,4.2
2020-01-01,0.9,-1.5,3
2019-12-31,-1,-5.9,5.8
2019-12-30,-1.2,-4.8,6.3
2019-12-29,0.1,-3.1,4
2019-12-28,1.3,-1,4.5
2019-12-27,5.5,4.2,6.6
2019-12-26,1.6,-0.7,4.2
2019-12-25,6.5,-0.5,9.1
2019-12-24,7.3,4.2,10.3
2019-12-23,7,6.3,8.1
2019-12-22,7.4,5.6,8.6
2019-12-21,4.7,-0.5,8.6
2019-12-20,5.7,2,9.4
2019-12-19,4.8,1.7,10.2
2019-12-18,8.3,4.1,10.7
2019-12-17,10.2,5.6,15.5
2019-12-16,7.8,5.1,11.8
2019-12-15,8.4,6.1,10.7
2019-12-14,6.8,3.7,8.7
2019-12-13,3.9,0.6,5.8
2019-12-12,3.2,0.7,4.3
2019-12-11,2.2,-0.1,4.1
2019-12-10,1,-1.3,4.5
2019-12-09,6.2,4.2,7.4
2019-12-08,8.7,7.5,9.8
2019-12-07,8.1,6.4,9
2019-12-06,1.5,-2,6.4
2019-12-05,-2.2,-5.3,1.9
2019-12-04,1.1,-4,5.5
2019-12-03,2.4,-0.9,7
2019-12-02,0.9,-3.6,5.8
2019-12-01,1.8,1.2,2.3
2019-11-30,0.9,-2.4,6.3
2019-11-29,5.4,-1,9.2
2019-11-28,9.4,7.9,10.8
2019-11-27,9.9,6.5,12.5
2019-11-26,8.6,5.3,11.5
2019-11-25,5.4,2.2,8
2019-11-24,2.5,-1.4,10
2019-11-23,4.4,0.6,8.1
2019-11-22,4.2,1.9,7.7
2019-11-21,2.9,1.3,5
2019-11-20,0.3,-4.1,4.8
2019-11-19,3.2,-3.1,7.6
2019-11-18,3.1,1.7,4.6
2019-11-17,3.1,-1.2,6.1
2019-11-16,0.5,-2.6,7.9
2019-11-15,3.8,-0.3,7
2019-11-14,4,1.3,7.2
2019-11-13,3.4,0.9,4.9
2019-11-12,4.7,-0.4,7.2
2019-11-11,3.2,1,5.2
2019-11-10,1.9,-0.2,4.3
2019-11-09,3.8,0,8.3
2019-11-08,3.7,0.3,8.1
2019-11-07,6.5,0.9,9.4
2019-11-06,8.3,6.1,10.6
2019-11-05,7.9,5.3,12.7
2019-11-04,10,8,13.2
2019-11-03,11.2,9.7,13.5
2019-11-02,13,9.6,15.4
2019-11-01,8.4,4.7,12.7
2019-10-31,5.7,1.6,10.5
2019-10-30,5.2,2.1,7.9
2019-10-29,6.4,3.4,10.4
2019-10-28,6.8,2.6,11
2019-10-27,10,6.5,15.1
2019-10-26,10.6,4.6,19.8
2019-10-25,11.9,6.1,16.8
2019-10-24,13.7,9.6,20.3
2019-10-23,11.9,9.3,14.2
2019-10-22,12.6,9.3,17.7
2019-10-21,13.2,10.6,16
2019-10-20,14,12.5,16.6
2019-10-19,12,6.2,16
2019-10-18,12.2,6.1,16.1
2019-10-17,13.3,11.6,15.7
2019-10-16,11.8,9.3,17.2
2019-10-15,12.7,9.8,16.5
2019-10-14,16,10.1,24.8
2019-10-13,18.1,11.9,24.5
2019-10-12,14,6.1,20.5
2019-10-11,10.7,4.2,17.6
2019-10-10,10.2,4.8,14.6
2019-10-09,11,8.2,13.4
2019-10-08,12,10.6,14.6
2019-10-07,10.5,8.6,13.3
2019-10-06,9,6.5,11
2019-10-05,11.1,6.5,12.9
2019-10-04,10,5.9,15.9
2019-10-03,7.4,1.8,14.5
2019-10-02,11.6,3.7,14.5
2019-10-01,13.7,6.8,18.9
2019-09-30,13.3,7.2,16.8
2019-09-29,15,9.9,19.3
2019-09-28,14.7,12.2,17.1
2019-09-27,14.4,11.1,16.4
2019-09-26,15.2,12.4,17.3
2019-09-25,14.2,12.7,15.9
2019-09-24,12.7,8.8,17.7
2019-09-23,14.7,9.1,20.3
2019-09-22,15.7,5.8,26.1
2019-09-21,14.2,6.1,25.8
2019-09-20,11.8,2.4,20.8
2019-09-19,10.1,2.6,18.3
2019-09-18,12.2,4.6,19.1
2019-09-17,16.7,10.3,22.2
